Cluster # | Energy | #points | Radius ofN,e,v,rg,epv,buriedness,v*buriedness^2/rg
1,-152.790000,268.000000,4.641722,-0.570112,0.915808,48.424388
2,-190.190000,323.000000,5.525733,-0.588824,0.903988,47.768121
3,-203.700000,402.000000,6.869337,-0.506716,0.898126,47.204807
4,-166.210000,375.000000,6.291247,-0.443227,0.885309,46.718031
5,-174.342000,399.000000,6.569894,-0.436947,0.876905,46.700297
6,-132.310000,207.000000,4.877342,-0.639179,0.980695,40.818311
7,-121.267000,272.000000,5.312639,-0.445835,0.858521,37.736391
8,-113.827000,239.000000,4.783966,-0.476264,0.868852,37.713938
9,-83.982000,184.000000,3.587941,-0.456424,0.838624,36.066789
10,-119.002000,242.000000,4.923990,-0.491744,0.855263,35.949903
11,-89.547000,197.000000,3.907897,-0.454553,0.834091,35.071137
12,-112.954000,214.000000,4.735005,-0.527822,0.861570,33.548624
13,-89.196000,186.000000,4.117585,-0.479548,0.844548,32.219484
14,-88.853000,106.000000,3.409696,-0.838236,0.987220,30.298318
15,-76.342000,94.000000,3.186841,-0.812149,0.986063,28.679830
16,-65.683000,123.000000,3.257394,-0.534008,0.869841,28.570299
17,-65.143000,174.000000,3.942805,-0.374385,0.801034,28.316879
18,-67.969000,97.000000,3.173651,-0.700711,0.957096,27.997766
19,-71.549000,148.000000,3.946952,-0.483439,0.857895,27.597379
20,-58.270000,146.000000,3.532374,-0.399110,0.812865,27.310117
21,-59.635000,114.000000,3.135802,-0.523114,0.864407,27.163925
22,-60.247000,82.000000,2.903361,-0.734720,0.976000,26.903723
23,-59.710000,142.000000,3.499745,-0.420493,0.811209,26.700408
24,-61.335000,126.000000,3.583797,-0.486786,0.871257,26.688255
25,-61.362000,72.000000,2.709330,-0.852250,0.995455,26.333792
26,-55.045000,128.000000,3.398455,-0.430039,0.832836,26.124454
27,-56.061000,151.000000,3.744646,-0.371265,0.803922,26.061151
28,-55.431000,128.000000,3.343303,-0.433055,0.822981,25.930701
29,-58.839000,115.000000,3.413705,-0.511643,0.861386,24.995831
30,-54.244000,105.000000,3.171528,-0.516610,0.867596,24.920433
31,-61.998000,70.000000,2.787911,-0.885686,0.995455,24.880665
32,-54.452000,142.000000,3.746294,-0.383465,0.807692,24.727399
33,-46.126000,99.000000,2.975428,-0.465919,0.857143,24.445120
34,-40.607000,106.000000,3.060445,-0.383085,0.835766,24.193080
35,-41.547000,107.000000,3.115081,-0.388290,0.834507,23.920733
36,-52.611000,130.000000,3.726453,-0.404700,0.824926,23.739826
37,-49.655000,109.000000,3.425915,-0.455550,0.861386,23.607267
38,-47.652000,132.000000,3.345287,-0.361000,0.771242,23.470466
39,-55.128000,126.000000,3.703221,-0.437524,0.828660,23.363834
40,-48.890000,107.000000,3.556170,-0.456916,0.875796,23.078488
41,-46.859000,98.000000,3.002290,-0.478153,0.839695,23.015280
42,-42.585000,84.000000,2.881641,-0.506964,0.882845,22.720009
43,-52.530000,91.000000,3.211349,-0.577253,0.893939,22.644878
44,-36.970000,90.000000,3.015639,-0.410778,0.866438,22.404671
